oss,xdate,SITE_ID,yesterdayName,todayName,cellname,MRBTS,lnbts,LNCEL,earfcnDL,dlchbw,pMax,remark
JAV,2019-09-04,20SBY113,E_PETRAIM32,E_PETRAIM32_O_XYX,E_PETRAIM32_O_XYX,47262,47262,8,500,100,430,newXYX
JAV,2019-09-04,20SBY113,E_PETRAIM33,E_PETRAIM33_O_XYX,E_PETRAIM33_O_XYX,47262,47262,9,500,100,430,newXYX
JAV,2019-09-04,20SBY420,E_MASPIONSBY_PL1,E_MASPIONSBY_PL1_O_XYX,E_MASPIONSBY_PL1_O_XYX,47263,47263,7,500,100,430,newXYX
JAV,2019-09-04,20SBY420,E_MASPIONSBY_PL2,E_MASPIONSBY_PL2_O_XYX,E_MASPIONSBY_PL2_O_XYX,47263,47263,8,500,100,430,newXYX
JAV,2019-09-04,20SBY420,E_MASPIONSBY_PL3,E_MASPIONSBY_PL3_O_XYX,E_MASPIONSBY_PL3_O_XYX,47263,47263,9,500,100,430,newXYX
JAV,2019-09-04,20SBY401,E_PAKUWONSBY_CM1_O_XXX,E_PAKUWONSBY_CM1_O_XYX,E_PAKUWONSBY_CM1_O_XYX,47444,47444,1,500,100,430,newXYX
JAV,2019-09-04,20SBY401,E_PAKUWONSBY_CM2_O_XXX,E_PAKUWONSBY_CM2_O_XYX,E_PAKUWONSBY_CM2_O_XYX,47444,47444,2,500,100,430,newXYX
JAV,2019-09-04,20SBY401,E_PAKUWONSBY_CM3_O_XXX,E_PAKUWONSBY_CM3_O_XYX,E_PAKUWONSBY_CM3_O_XYX,47444,47444,3,500,100,430,newXYX
JAV,2019-09-04,20SBY191,E_GRH_BUKOPIN1_XXX,E_GRH_BUKOPIN1_XXX_O_XYX,E_GRH_BUKOPIN1_XXX_O_XYX,47477,47477,1,476,50,430,newXYX
JAV,2019-09-04,20SBY191,E_GRH_BUKOPIN2_XXX,E_GRH_BUKOPIN2_XXX_O_XYX,E_GRH_BUKOPIN2_XXX_O_XYX,47477,47477,2,476,50,430,newXYX
JAV,2019-09-04,20SBY191,E_GRH_BUKOPIN3_XXX,E_GRH_BUKOPIN3_XXX_O_XYX,E_GRH_BUKOPIN3_XXX_O_XYX,47477,47477,3,476,50,430,newXYX
JAV,2019-09-04,20SBY506,E_GUNUNGANYAR_MT1_XXX,E_GUNUNGANYAR_MT1_XXX_O_XYX,E_GUNUNGANYAR_MT1_XXX_O_XYX,47482,47482,1,500,100,430,newXYX
JAV,2019-09-04,20SBY506,E_GUNUNGANYAR_MT2_XXX,E_GUNUNGANYAR_MT2_XXX_O_XYX,E_GUNUNGANYAR_MT2_XXX_O_XYX,47482,47482,2,500,100,430,newXYX
