oss,xdate,SITE_ID,yesterdayName,todayName,BSC,BCF,BTS,TRX,frequencyBandInUse,Remark
SMT,2019-09-04,05LBP152,AMPLAS_SEITUAN_TB2_O_XXX,AMPLAS_SEITUAN_TB2_O_XYX,391415,1551,1552,7,0,newXYX
SMT,2019-09-04,05LBP152,AMPLAS_SEITUAN_TB3_O_XXX,AMPLAS_SEITUAN_TB3_O_XYX,391415,1551,1553,13,0,newXYX
SMT,2019-09-04,05MDN257,PERUM_SIMALINGKAR_TB1_O_XXX,PERUM_SIMALINGKAR_TB1_O_XYX,391415,1591,1591,1,0,newXYX
SMT,2019-09-04,05MDN257,PERUM_SIMALINGKAR_TB2_O_XXX,PERUM_SIMALINGKAR_TB2_O_XYX,391415,1591,1592,7,0,newXYX
SMT,2019-09-04,05MDN257,PERUM_SIMALINGKAR_TB3_O_XXX,PERUM_SIMALINGKAR_TB3_O_XYX,391415,1591,1593,13,0,newXYX
SMT,2019-09-04,05LBP159,MEDAN_KRIO1_O_XXX,MEDAN_KRIO1_O_XYX,391415,1601,1601,1,0,newXYX
SMT,2019-09-04,05LBP159,MEDAN_KRIO2_O_XXX,MEDAN_KRIO2_O_XYX,391415,1601,1602,7,0,newXYX
SMT,2019-09-04,05LBP159,MEDAN_KRIO3_O_XXX,MEDAN_KRIO3_O_XYX,391415,1601,1603,13,0,newXYX
SMT,2019-09-04,05MDN250,_D_RS ROYAL PRIMA MEDAN1_O_XXX,_D_RS ROYAL PRIMA MEDAN1_O_XYX,391415,3701,3701,1,1,newXYX
SMT,2019-09-04,05MDN247,_D_RS_ELISABETH1_O_XXX,_D_RS_ELISABETH1_O_XYX,391415,3711,3711,1,1,newXYX
SMT,2019-09-04,05MDN247,_D_RS_ELISABETH2_O_XXX,_D_RS_ELISABETH2_O_XYX,391415,3711,3712,7,1,newXYX
SMT,2019-09-04,05MDN246,_D_MALL_RING_ROAD1_O_XXX,_D_MALL_RING_ROAD1_O_XYX,391415,3721,3721,1,1,newXYX
SMT,2019-09-04,05MDN253,_DMALL_LIPPO_SILOAM1_O_XXX,_DMALL_LIPPO_SILOAM1_O_XYX,391415,3731,3731,1,1,newXYX
SMT,2019-09-04,05MDN254,_DCAMBRIDGE_HARRIS1_O_XXX,_DCAMBRIDGE_HARRIS1_O_XYX,391415,3741,3741,1,1,newXYX
SMT,2019-09-04,05MDN254,_DCAMBRIDGE_HARRIS2_O_XXX,_DCAMBRIDGE_HARRIS2_O_XYX,391415,3741,3742,7,1,newXYX
SMT,2019-09-04,05LBP204,DUSUN17_TBAYAN_MT1_O_XXX,DUSUN17_TBAYAN_MT1_O_XYX,391415,3761,3761,1,0,newXYX
SMT,2019-09-04,05LBP204,DUSUN17_TBAYAN_MT2_O_XXX,DUSUN17_TBAYAN_MT2_O_XYX,391415,3761,3762,7,0,newXYX
SMT,2019-09-04,05LBP204,DUSUN17_TBAYAN_MT3_O_XXX,DUSUN17_TBAYAN_MT3_O_XYX,391415,3761,3763,13,0,newXYX
SMT,2019-09-04,05MDN248,_DMANHATTAN_SQUARE8_O_XXX,_DMANHATTAN_SQUARE8_O_XYX,391415,3771,3771,1,1,newXYX
SMT,2019-09-04,05MDN248,_DMANHATTAN_SQUARE0_O_XXX,_DMANHATTAN_SQUARE0_O_XYX,391415,3771,3772,7,1,newXYX
SMT,2019-09-04,05LBP145,DALU_10B_TB1_O_XXX,DALU_10B_TB1_O_XYX,404549,31,31,1,0,newXYX
SMT,2019-09-04,05LBP145,DALU_10B_TB2_O_XXX,DALU_10B_TB2_O_XYX,404549,31,32,7,0,newXYX
SMT,2019-09-04,05LBP145,DALU_10B_TB3_O_XXX,DALU_10B_TB3_O_XYX,404549,31,33,13,0,newXYX
SMT,2019-09-04,05LBP173,KUIS_MORAWA_MT1XXX_O_XXX,KUIS_MORAWA_MT1_O_XYX,404549,131,131,1,0,newXYX
SMT,2019-09-04,05LBP173,KUIS_MORAWA_MT2XXX_O_XXX,KUIS_MORAWA_MT2_O_XYX,404549,131,132,7,0,newXYX
SMT,2019-09-04,05LBP173,KUIS_MORAWA_MT3XXX_O_XXX,KUIS_MORAWA_MT3_O_XYX,404549,131,133,13,0,newXYX
SMT,2019-09-04,05MDN302,DS_TERJUN_KN1_O_XXX,DS_TERJUN_KN1_O_XYX,404549,171,171,1,0,newXYX
SMT,2019-09-04,05MDN302,DS_TERJUN_KN2_O_XXX,DS_TERJUN_KN2_O_XYX,404549,171,172,7,0,newXYX
SMT,2019-09-04,05MDN302,DS_TERJUN_KN3_O_XXX,DS_TERJUN_KN3_O_XYX,404549,171,173,13,0,newXYX
SMT,2019-09-04,05STB023,PAYA_JAMBU_TBG1_O_XXX,PAYA_JAMBU_TBG1_O_XYX,404549,211,211,1,0,newXYX
SMT,2019-09-04,05STB023,PAYA_JAMBU_TBG2_O_XXX,PAYA_JAMBU_TBG2_O_XYX,404549,211,212,7,0,newXYX
SMT,2019-09-04,05STB023,PAYA_JAMBU_TBG3_O_XXX,PAYA_JAMBU_TBG3_O_XYX,404549,211,213,13,0,newXYX
SMT,2019-09-04,05STB024,NAMU_UKUR_UTR_TB1_O_XXX,NAMU_UKUR_UTR_TB1_O_XYX,404549,221,221,1,0,newXYX
SMT,2019-09-04,05STB024,NAMU_UKUR_UTR_TB2_O_XXX,NAMU_UKUR_UTR_TB2_O_XYX,404549,221,222,7,0,newXYX
SMT,2019-09-04,05STB024,NAMU_UKUR_UTR_TB3_O_XXX,NAMU_UKUR_UTR_TB3_O_XYX,404549,221,223,13,0,newXYX
SMT,2019-09-04,05STB025,PSR4_KWALA_MENCIRIM_TBG1_O_XXX,PSR4_KWALA_MENCIRIM_TBG1_O_XYX,404549,231,231,1,0,newXYX
SMT,2019-09-04,05STB025,PSR4_KWALA_MENCIRIM_TBG2_O_XXX,PSR4_KWALA_MENCIRIM_TBG2_O_XYX,404549,231,232,7,0,newXYX
SMT,2019-09-04,05STB025,PSR4_KWALA_MENCIRIM_TBG3_O_XXX,PSR4_KWALA_MENCIRIM_TBG3_O_XYX,404549,231,233,13,0,newXYX
SMT,2019-09-04,05LBP176,PENARA_KEBUN_LSP1_O_XXX,PENARA_KEBUN_LSP1_O_XYX,404549,361,361,1,0,newXYX
SMT,2019-09-04,05LBP176,PENARA_KEBUN_LSP2_O_XXX,PENARA_KEBUN_LSP2_O_XYX,404549,361,362,7,0,newXYX
SMT,2019-09-04,05LBP176,PENARA_KEBUN_LSP3_O_XXX,PENARA_KEBUN_LSP3_O_XYX,404549,361,363,13,0,newXYX
SMT,2019-09-04,05MDN261,SRI_BULAN_PL1_O_XXX,SRI_BULAN_PL1_O_XYX,404549,371,371,1,0,newXYX
SMT,2019-09-04,05MDN261,SRI_BULAN_PL2_O_XXX,SRI_BULAN_PL2_O_XYX,404549,371,372,7,0,newXYX
SMT,2019-09-04,05MDN261,SRI_BULAN_PL3_O_XXX,SRI_BULAN_PL3_O_XYX,404549,371,373,13,0,newXYX
SMT,2019-09-04,05LBP178,BERAS_SEKATA_PL1_O_XXX,BERAS_SEKATA_PL1_O_XYX,404549,381,381,1,0,newXYX
SMT,2019-09-04,05LBP178,BERAS_SEKATA_PL2_O_XXX,BERAS_SEKATA_PL2_O_XYX,404549,381,382,7,0,newXYX
SMT,2019-09-04,05LBP178,BERAS_SEKATA_PL3_O_XXX,BERAS_SEKATA_PL3_O_XYX,404549,381,383,13,0,newXYX
SMT,2019-09-04,05LBP189,HMP_PERAK_GT1_O_XXX,HMP_PERAK_GT1_O_XYX,404549,391,391,1,0,newXYX
SMT,2019-09-04,05LBP189,HMP_PERAK_GT2_O_XXX,HMP_PERAK_GT2_O_XYX,404549,391,392,7,0,newXYX
SMT,2019-09-04,05LBP189,HMP_PERAK_GT3_O_XXX,HMP_PERAK_GT3_O_XYX,404549,391,393,13,0,newXYX
SMT,2019-09-04,05BJI009,DAMAI_BJI_GH1_O_XXX,DAMAI_BJI_GH1_O_XYX,404549,421,421,1,0,newXYX
SMT,2019-09-04,05BJI009,DAMAI_BJI_GH2_O_XXX,DAMAI_BJI_GH2_O_XYX,404549,421,422,7,0,newXYX
SMT,2019-09-04,05BJI009,DAMAI_BJI_GH3_O_XXX,DAMAI_BJI_GH3_O_XYX,404549,421,423,13,0,newXYX
SMT,2019-09-04,05BJI010,JATI_MAKMUR_BJI_GH1_O_XXX,JATI_MAKMUR_BJI_GH1_O_XYX,404549,431,431,1,0,newXYX
SMT,2019-09-04,05BJI010,JATI_MAKMUR_BJI_GH2_O_XXX,JATI_MAKMUR_BJI_GH2_O_XYX,404549,431,432,7,0,newXYX
SMT,2019-09-04,05BJI010,JATI_MAKMUR_BJI_GH3_O_XXX,JATI_MAKMUR_BJI_GH3_O_XYX,404549,431,433,13,0,newXYX
SMT,2019-09-04,05LBP186,PAGAR_JATI_PL1_O_XXX,PAGAR_JATI_PL1_O_XYX,404549,531,531,1,0,newXYX
SMT,2019-09-04,05LBP186,PAGAR_JATI_PL2_O_XXX,PAGAR_JATI_PL2_O_XYX,404549,531,532,7,0,newXYX
SMT,2019-09-04,05LBP186,PAGAR_JATI_PL3_O_XXX,PAGAR_JATI_PL3_O_XYX,404549,531,533,13,0,newXYX
SMT,2019-09-04,05LBP187,SEIROTAN_BJI1_O_XXX,SEIROTAN_BJI1_O_XYX,404549,541,541,1,0,newXYX
SMT,2019-09-04,05LBP187,SEIROTAN_BJI2_O_XXX,SEIROTAN_BJI2_O_XYX,404549,541,542,7,0,newXYX
SMT,2019-09-04,05LBP187,SEIROTAN_BJI3_O_XXX,SEIROTAN_BJI3_O_XYX,404549,541,543,13,0,newXYX
SMT,2019-09-04,05LBP194,DS_LIMAU_MANIS_PL1_O_XXX,DS_LIMAU_MANIS_PL1_O_XYX,404549,571,571,1,0,newXYX
SMT,2019-09-04,05LBP194,DS_LIMAU_MANIS_PL2_O_XXX,DS_LIMAU_MANIS_PL2_O_XYX,404549,571,572,7,0,newXYX
SMT,2019-09-04,05LBP194,DS_LIMAU_MANIS_PL3_O_XXX,DS_LIMAU_MANIS_PL3_O_XYX,404549,571,573,13,0,newXYX
SMT,2019-09-04,05LBP197,NAMO_BINTANG_LS1_O_XXX,NAMO_BINTANG_LS1_O_XYX,404549,591,591,1,0,newXYX
SMT,2019-09-04,05LBP197,NAMO_BINTANG_LS2_O_XXX,NAMO_BINTANG_LS2_O_XYX,404549,591,592,7,0,newXYX
SMT,2019-09-04,05LBP197,NAMO_BINTANG_LS3_O_XXX,NAMO_BINTANG_LS3_O_XYX,404549,591,593,13,0,newXYX
SMT,2019-09-04,05LBP198,NAMORIH_LSP1_O_XXX,NAMORIH_LSP1_O_XYX,404549,601,601,1,0,newXYX
SMT,2019-09-04,05LBP198,NAMORIH_LSP2_O_XXX,NAMORIH_LSP2_O_XYX,404549,601,602,7,0,newXYX
SMT,2019-09-04,05LBP198,NAMORIH_LSP3_O_XXX,NAMORIH_LSP3_O_XYX,404549,601,603,13,0,newXYX
SMT,2019-09-04,05SDK006,PANGGURUAN_TB1_O_XXX,PANGGURUAN_TB1_O_XYX,404549,641,641,1,0,newXYX
SMT,2019-09-04,05SDK006,PANGGURUAN_TB2_O_XXX,PANGGURUAN_TB2_O_XYX,404549,641,642,7,0,newXYX
SMT,2019-09-04,05SDK006,PANGGURUAN_TB3_O_XXX,PANGGURUAN_TB3_O_XYX,404549,641,643,14,0,newXYX
SMT,2019-09-04,05STB069,BEKULAP_TB1_O_XXX,BEKULAP_TB1_O_XYX,404549,651,651,1,0,newXYX
SMT,2019-09-04,05STB069,BEKULAP_TB2_O_XXX,BEKULAP_TB2_O_XYX,404549,651,652,7,0,newXYX
SMT,2019-09-04,05STB069,BEKULAP_TB3_O_XXX,BEKULAP_TB3_O_XYX,404549,651,653,13,0,newXYX
SMT,2019-09-04,05STB071,STABAT_LAMA_MT1_O_XXX,STABAT_LAMA_MT1_O_XYX,404549,681,681,1,0,newXYX
SMT,2019-09-04,05STB071,STABAT_LAMA_MT2_O_XXX,STABAT_LAMA_MT2_O_XYX,404549,681,682,7,0,newXYX
SMT,2019-09-04,05STB071,STABAT_LAMA_MT3_O_XXX,STABAT_LAMA_MT3_O_XYX,404549,681,683,13,0,newXYX
SMT,2019-09-04,05LBP200,SAMPALI_GT1_O_XXX,SAMPALI_GT1_O_XYX,404549,761,761,1,0,newXYX
SMT,2019-09-04,05LBP200,SAMPALI_GT2_O_XXX,SAMPALI_GT2_O_XYX,404549,761,762,7,0,newXYX
SMT,2019-09-04,05LBP200,SAMPALI_GT3_O_XXX,SAMPALI_GT3_O_XYX,404549,761,763,13,0,newXYX
SMT,2019-09-04,05MDN370,LAB_DELI_TB1_O_XXX,LAB_DELI_TB1_O_XYX,404549,801,801,1,0,newXYX
SMT,2019-09-04,05MDN370,LAB_DELI_TB2_O_XXX,LAB_DELI_TB2_O_XYX,404549,801,802,7,0,newXYX
SMT,2019-09-04,05MDN370,LAB_DELI_TB3_O_XXX,LAB_DELI_TB3_O_XYX,404549,801,803,13,0,newXYX
SMT,2019-09-04,05LBP150,MEDAN_SENEMBAH_TB1_O_XXX,MEDAN_SENEMBAH_TB1_O_XYX,404549,811,811,1,0,newXYX
SMT,2019-09-04,05LBP150,MEDAN_SENEMBAH_TB2_O_XXX,MEDAN_SENEMBAH_TB2_O_XYX,404549,811,812,7,0,newXYX
SMT,2019-09-04,05LBP150,MEDAN_SENEMBAH_TB3_O_XXX,MEDAN_SENEMBAH_TB3_O_XYX,404549,811,813,13,0,newXYX
SMT,2019-09-04,05LBP162,TELAGASARI_PL1_O_XXX,TELAGASARI_PL1_O_XYX,404549,821,821,1,0,newXYX
SMT,2019-09-04,05LBP162,TELAGASARI_PL2_O_XXX,TELAGASARI_PL2_O_XYX,404549,821,822,7,0,newXYX
SMT,2019-09-04,05LBP162,TELAGASARI_PL3_O_XXX,TELAGASARI_PL3_O_XYX,404549,821,823,13,0,newXYX
SMT,2019-09-04,05STB027,NAMU_UKUR_SLT_STP1_O_XXX,NAMU_UKUR_SLT_STP1_O_XYX,404549,851,851,1,0,newXYX
SMT,2019-09-04,05STB027,NAMU_UKUR_SLT_STP2_O_XXX,NAMU_UKUR_SLT_STP2_O_XYX,404549,851,852,7,0,newXYX
SMT,2019-09-04,05STB027,NAMU_UKUR_SLT_STP3_O_XXX,NAMU_UKUR_SLT_STP3_O_XYX,404549,851,853,13,0,newXYX
SMT,2019-09-04,05STB078,CINTA_RAJA_CM1_O_XXX,CINTA_RAJA_CM1_O_XYX,404549,3251,3251,1,0,newXYX
SMT,2019-09-04,05STB078,CINTA_RAJA_CM2_O_XXX,CINTA_RAJA_CM2_O_XYX,404549,3251,3252,7,0,newXYX
SMT,2019-09-04,05STB078,CINTA_RAJA_CM3_O_XXX,CINTA_RAJA_CM3_O_XYX,404549,3251,3253,13,0,newXYX
SMT,2019-09-04,05LBP202,PEMATANG_JOHAR_TB1_O_XXX,PEMATANG_JOHAR_TB1_O_XYX,404549,3261,3261,1,0,newXYX
SMT,2019-09-04,05LBP202,PEMATANG_JOHAR_TB2_O_XXX,PEMATANG_JOHAR_TB2_O_XYX,404549,3261,3262,7,0,newXYX
SMT,2019-09-04,05LBP202,PEMATANG_JOHAR_TB3_O_XXX,PEMATANG_JOHAR_TB3_O_XYX,404549,3261,3263,13,0,newXYX
SMT,2019-09-04,05LBP201,TG_GARBUS_SATU_ST1_O_XXX,TG_GARBUS_SATU_ST1_O_XYX,404549,3411,3411,1,0,newXYX
SMT,2019-09-04,05LBP201,TG_GARBUS_SATU_ST2_O_XXX,TG_GARBUS_SATU_ST2_O_XYX,404549,3411,3412,7,0,newXYX
SMT,2019-09-04,05LBP201,TG_GARBUS_SATU_ST3_O_XXX,TG_GARBUS_SATU_ST3_O_XYX,404549,3411,3413,13,0,newXYX
SMT,2019-09-04,05MDN249,_DRSU_ADAM_MALIK1_O_XXX,_DRSU_ADAM_MALIK1_O_XYX,404549,3701,3701,1,1,newXYX
SMT,2019-09-04,05MDN249,_DRSU_ADAM_MALIK2_O_XXX,_DRSU_ADAM_MALIK2_O_XYX,404549,3701,3702,7,1,newXYX
SMT,2019-09-04,05MDN251,_D_BINJAI_SUPERMALL1_O_XXX,_D_BINJAI_SUPERMALL1_O_XYX,404549,3711,3711,1,1,newXYX
SMT,2019-09-04,05TBT008,PINANG_MANCUNG_MT1XXX_O_XXX,PINANG_MANCUNG_MT1_O_XYX,404556,11,11,1,0,newXYX
SMT,2019-09-04,05TBT008,PINANG_MANCUNG_MT2XXX_O_XXX,PINANG_MANCUNG_MT2_O_XYX,404556,11,12,7,0,newXYX
SMT,2019-09-04,05TBT008,PINANG_MANCUNG_MT3XXX_O_XXX,PINANG_MANCUNG_MT3_O_XYX,404556,11,13,13,0,newXYX
SMT,2019-09-04,05KIS022,DS_TANAHTINGGI_ST1_O_XXX,DS_TANAHTINGGI_ST1_O_XYX,404556,21,21,1,0,newXYX
SMT,2019-09-04,05KIS022,DS_TANAHTINGGI_ST2_O_XXX,DS_TANAHTINGGI_ST2_O_XYX,404556,21,22,7,0,newXYX
SMT,2019-09-04,05KIS022,DS_TANAHTINGGI_ST3_O_XXX,DS_TANAHTINGGI_ST3_O_XYX,404556,21,23,13,0,newXYX
SMT,2019-09-04,05PMR026,RAMBUNG_MERAH_TB1_O_XXX,RAMBUNG_MERAH_TB1_O_XYX,404556,31,31,1,0,newXYX
SMT,2019-09-04,05PMR026,RAMBUNG_MERAH_TB2_O_XXX,RAMBUNG_MERAH_TB2_O_XYX,404556,31,32,7,0,newXYX
