oss,xdate,SITE_ID,yesterdayName,todayName,RNC,WBTS,WCEL,IPNBId,PtxCellMax,MBLBStateTransEnabled,Remark
JAV,2019-09-04,14UNR125,U_GENDANG_UNR_ML4,U_GENDANG_UNR_ML4_O_XYX,1136,3116,31164,3116,460,1,newXYX
JAV,2019-09-04,14UNR125,U_GENDANG_UNR_ML5,U_GENDANG_UNR_ML5_O_XYX,1136,3116,31165,3116,460,1,newXYX
JAV,2019-09-04,14UNR125,U_GENDANG_UNR_ML6,U_GENDANG_UNR_ML6_O_XYX,1136,3116,31166,3116,460,1,newXYX
JAV,2019-09-04,14UNR007,U_BLOTONGAN1,U_BLOTONGAN1_O_XYX,1136,3623,18687,3623,478,1,newXYX
JAV,2019-09-04,14UNR007,U_BLOTONGAN2,U_BLOTONGAN2_O_XYX,1136,3623,18688,3623,460,1,newXYX
JAV,2019-09-04,14UNR007,U_BLOTONGAN3,U_BLOTONGAN3_O_XYX,1136,3623,18689,3623,460,1,newXYX
JAV,2019-09-04,14UNR007,U_BLOTONGAN4,U_BLOTONGAN4_O_XYX,1136,3623,35464,3623,460,1,newXYX
JAV,2019-09-04,14UNR007,U_BLOTONGAN5,U_BLOTONGAN5_O_XYX,1136,3623,35465,3623,460,1,newXYX
JAV,2019-09-04,14UNR007,U_BLOTONGAN6,U_BLOTONGAN6_O_XYX,1136,3623,35466,3623,460,1,newXYX
JAV,2019-09-04,14UNR014,U_TUNTANG1,U_TUNTANG1_O_XYX,1136,3682,18707,3682,460,1,newXYX
JAV,2019-09-04,14UNR014,U_TUNTANG2,U_TUNTANG2_O_XYX,1136,3682,18708,3682,460,1,newXYX
JAV,2019-09-04,14UNR014,U_TUNTANG3,U_TUNTANG3_O_XYX,1136,3682,18709,3682,478,1,newXYX
JAV,2019-09-04,14UNR014,U_TUNTANG4,U_TUNTANG4_O_XYX,1136,3682,35484,3682,460,1,newXYX
JAV,2019-09-04,14UNR014,U_TUNTANG5,U_TUNTANG5_O_XYX,1136,3682,35485,3682,460,1,newXYX
JAV,2019-09-04,14UNR014,U_TUNTANG6,U_TUNTANG6_O_XYX,1136,3682,35486,3682,460,1,newXYX
JAV,2019-09-04,14UNR052,U_POLOSIRI_IT1,U_POLOSIRI_IT1_O_XYX,1136,4007,24667,4007,460,1,newXYX
JAV,2019-09-04,14UNR052,U_POLOSIRI_IT2,U_POLOSIRI_IT2_O_XYX,1136,4007,24668,4007,460,1,newXYX
JAV,2019-09-04,14UNR052,U_POLOSIRI_IT3,U_POLOSIRI_IT3_O_XYX,1136,4007,24669,4007,460,1,newXYX
JAV,2019-09-04,14UNR052,U_POLOSIRI_IT4,U_POLOSIRI_IT4_O_XYX,1136,4007,35494,4007,460,1,newXYX
JAV,2019-09-04,14UNR052,U_POLOSIRI_IT5,U_POLOSIRI_IT5_O_XYX,1136,4007,35495,4007,460,1,newXYX
JAV,2019-09-04,14UNR052,U_POLOSIRI_IT6,U_POLOSIRI_IT6_O_XYX,1136,4007,35496,4007,460,1,newXYX
JAV,2019-09-04,14UNR053,U_JETAK_SALATIGA1,U_JETAK_SALATIGA1_O_XYX,1136,4008,22717,4008,460,1,newXYX
JAV,2019-09-04,14UNR053,U_JETAK_SALATIGA2,U_JETAK_SALATIGA2_O_XYX,1136,4008,22718,4008,460,1,newXYX
JAV,2019-09-04,14UNR053,U_JETAK_SALATIGA3,U_JETAK_SALATIGA3_O_XYX,1136,4008,22719,4008,478,1,newXYX
JAV,2019-09-04,14UNR053,U_JETAK_SALATIGA4,U_JETAK_SALATIGA4_O_XYX,1136,4008,35444,4008,460,1,newXYX
JAV,2019-09-04,14UNR053,U_JETAK_SALATIGA5,U_JETAK_SALATIGA5_O_XYX,1136,4008,35445,4008,460,1,newXYX
JAV,2019-09-04,14UNR053,U_JETAK_SALATIGA6,U_JETAK_SALATIGA6_O_XYX,1136,4008,35446,4008,460,1,newXYX
JAV,2019-09-04,14UNR062,U_SELONGISOR1,U_SELONGISOR1_O_XYX,1136,4328,22687,4328,460,1,newXYX
JAV,2019-09-04,14UNR062,U_SELONGISOR2,U_SELONGISOR2_O_XYX,1136,4328,22688,4328,460,1,newXYX
JAV,2019-09-04,14UNR062,U_SELONGISOR3,U_SELONGISOR3_O_XYX,1136,4328,22689,4328,460,1,newXYX
JAV,2019-09-04,14UNR062,U_SELONGISOR4,U_SELONGISOR4_O_XYX,1136,4328,35404,4328,460,1,newXYX
JAV,2019-09-04,14UNR062,U_SELONGISOR5,U_SELONGISOR5_O_XYX,1136,4328,35405,4328,460,1,newXYX
JAV,2019-09-04,14UNR062,U_SELONGISOR6,U_SELONGISOR6_O_XYX,1136,4328,35406,4328,460,1,newXYX
JAV,2019-09-04,14SMG097,U_BRINGINKLPL1,U_BRINGINKLPL1_O_XYX,1140,1890,16737,1890,478,1,newXYX
JAV,2019-09-04,14SMG097,U_BRINGINKLPL2,U_BRINGINKLPL2_O_XYX,1140,1890,16738,1890,478,1,newXYX
JAV,2019-09-04,14SMG097,U_BRINGINKLPL3,U_BRINGINKLPL3_O_XYX,1140,1890,16739,1890,478,1,newXYX
JAV,2019-09-04,14SMG097,U_BRINGINKLPL4,U_BRINGINKLPL4_O_XYX,1140,1890,35224,1890,460,1,newXYX
JAV,2019-09-04,14SMG097,U_BRINGINKLPL5,U_BRINGINKLPL5_O_XYX,1140,1890,35225,1890,460,1,newXYX
JAV,2019-09-04,14SMG097,U_BRINGINKLPL6,U_BRINGINKLPL6_O_XYX,1140,1890,35226,1890,460,1,newXYX
JAV,2019-09-04,14SMG092,U_TUGUREJOTBG1,U_TUGUREJOTBG1_O_XYX,1140,1919,17787,1919,478,1,newXYX
JAV,2019-09-04,14SMG092,U_TUGUREJOTBG2,U_TUGUREJOTBG2_O_XYX,1140,1919,17788,1919,478,1,newXYX
JAV,2019-09-04,14SMG092,U_TUGUREJOTBG3,U_TUGUREJOTBG3_O_XYX,1140,1919,17789,1919,478,1,newXYX
JAV,2019-09-04,14SMG092,U_TUGUREJOTBG4,U_TUGUREJOTBG4_O_XYX,1140,1919,31344,1919,460,1,newXYX
JAV,2019-09-04,14SMG092,U_TUGUREJOTBG5,U_TUGUREJOTBG5_O_XYX,1140,1919,31345,1919,460,1,newXYX
JAV,2019-09-04,14SMG092,U_TUGUREJOTBG6,U_TUGUREJOTBG6_O_XYX,1140,1919,31346,1919,460,1,newXYX
JAV,2019-09-04,14SMG078,U_TUGUKP1,U_TUGUKP1_O_XYX,1140,1934,17937,1934,478,1,newXYX
JAV,2019-09-04,14SMG078,U_TUGUKP2,U_TUGUKP2_O_XYX,1140,1934,17938,1934,478,1,newXYX
JAV,2019-09-04,14SMG078,U_TUGUKP3,U_TUGUKP3_O_XYX,1140,1934,17939,1934,478,1,newXYX
JAV,2019-09-04,14SMG078,U_TUGUKP4,U_TUGUKP4_O_XYX,1140,1934,31194,1934,460,1,newXYX
JAV,2019-09-04,14SMG078,U_TUGUKP5,U_TUGUKP5_O_XYX,1140,1934,31195,1934,460,1,newXYX
JAV,2019-09-04,14SMG078,U_TUGUKP6,U_TUGUKP6_O_XYX,1140,1934,31196,1934,460,1,newXYX
